,,GermanMale,GermanFemale,GermanTotal,ForeignMale,ForeignFemale,ForeignTotal,Male,Female,Total
2000,Baden-Wuerttemberg,4456947,4740243,9197190,684993,610438,1295431,5141940,5350681,10492621
2000,Bayern,5349648,5702530,11052178,602346,533065,1135411,5951994,6235595,12187589
2000,Berlin,1409803,1541385,2951188,234198,198760,432958,1644001,1740145,3384146
2000,Brandenburg,1242469,1296455,2538924,39943,21663,61606,1282412,1318118,2600530
2000,Bremen,276744,305091,581835,42001,37614,79615,318745,342705,661450
2000,Hamburg,682779,760961,1443740,145295,121236,266531,828074,882197,1710271
2000,Hessen,2582611,2740507,5323118,386219,349007,735226,2968830,3089514,6058344
2000,Mecklenburg-Vorpommern,860081,890323,1750404,20870,11750,32620,880951,902073,1783024
2000,Niedersachsen,3586052,3790718,7376769,282588,251950,534538,3868639,4042668,7911308
2000,Nordrhein-Westfalen,7665472,8284209,15949680,1086208,964041,2050249,8751680,9248250,17999930
2000,Rheinland-Pfalz,1806632,1917361,3723993,168542,137868,306410,1975174,2055229,4030403
2000,Saarland,471807,508885,980691,46808,42184,88992,518615,551069,1069684
2000,Sachsen,2084447,2253012,4337459,67108,38154,105262,2151555,2291166,4442721
2000,Sachsen-Anhalt,1251624,1337259,2588883,28202,15923,44125,1279826,1353181,2633008
2000,Schleswig-Holstein,1279801,1348765,2628565,80167,73561,153728,1359967,1422326,2782294
2000,Thueringen,1166131,1230961,2397092,27423,15776,43199,1193554,1246737,2440291
2001,Baden-Wuerttemberg,4502591,4774602,9277193,674972,608595,1283567,5177563,5383197,10560760
2001,Bayern,5397023,5735799,11132822,606502,541080,1147582,6003525,6276879,12280404
2001,Berlin,1411339,1537118,2948457,234625,202067,436692,1645964,1739185,3385149
2001,Brandenburg,1241020,1292305,2533325,40286,22925,63211,1281306,1315230,2596536
2001,Bremen,276416,303656,580072,42132,38123,80255,318548,341779,660327
2001,Hamburg,692911,767003,1459914,141435,119614,261049,834346,886617,1720963
2001,Hessen,2604748,2754817,5359565,371182,342115,713297,2975930,3096932,6072862
2001,Mecklenburg-Vorpommern,852462,881350,1733812,21589,12397,33986,874051,893747,1767798
2001,Niedersachsen,3603386,3802217,7405603,280784,253169,533953,3884170,4055386,7939556
2001,Nordrhein-Westfalen,7703982,8303923,16007905,1064012,955092,2019104,8767994,9259015,18027009
2001,Rheinland-Pfalz,1812809,1919944,3732753,168425,139997,308422,1981234,2059941,4041175
2001,Saarland,471322,507401,978723,46354,42177,88531,517676,549578,1067254
2001,Sachsen,2068265,2228777,4297042,67213,40453,107666,2135478,2269230,4404708
2001,Sachsen-Anhalt,1235445,1317508,2552953,28387,17039,45426,1263832,1334547,2598379
2001,Schleswig-Holstein,1288091,1355634,2643725,78671,73519,152190,1366762,1429153,2795915
2001,Thueringen,1157988,1218985,2376973,28003,16006,44009,1185991,1234991,2420982
2002,Baden-Wuerttemberg,4536056,4797567,9333623,679212,618127,1297339,5215268,5415694,10630962
2002,Bayern,5431623,5757265,11188888,614377,554853,1169230,6046000,6312118,12358118
2002,Berlin,1414240,1534412,2948652,235351,206287,441638,1649591,1740699,3390290
2002,Brandenburg,1236495,1284182,2520677,41152,24606,65758,1277647,1308788,2586435
2002,Bremen,276005,302284,578289,42798,39040,81838,318803,341324,660127
2002,Hamburg,699495,770518,1470013,138651,118781,257432,838146,889299,1727445
2002,Hessen,2620157,2762640,5382797,361517,340595,702112,2981674,3103235,6084909
2002,Mecklenburg-Vorpommern,844215,871609,1715824,22687,13512,36199,866902,885121,1752023
2002,Niedersachsen,3617382,3811105,7428487,283563,257553,541116,3900945,4068658,7969603
2002,Nordrhein-Westfalen,7737603,8318273,16055876,1052972,954090,2007062,8790575,9272363,18062938
